event_id,type_of_events
18125,"christian"
18124,"courses_training_or_mentoring"
18123,"christian"
18122,"christian"
18121,"christian"
18120,"christian"
18119,"courses_training_or_mentoring"
18118,"courses_training_or_mentoring"
18117,"courses_training_or_mentoring"
18116,"courses_training_or_mentoring"
18115,"courses_training_or_mentoring"
18114,"christian"
18113,"courses_training_or_mentoring"
18112,"christian"
18111,"christian"
18110,"courses_training_or_mentoring"
18109,"christian"
18108,"christian"
18107,"courses_training_or_mentoring"
18106,"courses_training_or_mentoring"
18105,"courses_training_or_mentoring"
18104,"christian"
18103,"christian"
18102,"christian"
18101,"courses_training_or_mentoring"
18100,"courses_training_or_mentoring"
18099,"courses_training_or_mentoring"
18098,"christian"
18097,"courses_training_or_mentoring"
18096,"courses_training_or_mentoring"
18095,"courses_training_or_mentoring"
18094,"courses_training_or_mentoring"
18093,"courses_training_or_mentoring"
18092,"courses_training_or_mentoring"
18091,"courses_training_or_mentoring"
18090,"courses_training_or_mentoring"
18089,"christian"
18088,"courses_training_or_mentoring"
18087,"courses_training_or_mentoring"
18086,"christian"
18085,"courses_training_or_mentoring"
18084,"courses_training_or_mentoring"
18083,"courses_training_or_mentoring"
18082,"courses_training_or_mentoring"
18081,"christian"
18080,"christian"
18079,"christian"
18078,"courses_training_or_mentoring"
18077,"courses_training_or_mentoring"
18076,"christian"
18075,"christian"
18074,"christian"
18073,"christian"
18072,"christian"
18071,"courses_training_or_mentoring"
18070,"courses_training_or_mentoring"
18069,"courses_training_or_mentoring"
18068,"courses_training_or_mentoring"
18067,"courses_training_or_mentoring"
18066,"christian"
18065,"courses_training_or_mentoring"
18064,"courses_training_or_mentoring"
18063,"christian"
18062,"christian"
18061,"christian"
18060,"christian"
18059,"courses_training_or_mentoring"
18058,"christian"
18057,"christian"
18056,"christian"
18055,"courses_training_or_mentoring"
18054,"christian"
18053,"christian"
18052,"christian"
18051,"courses_training_or_mentoring"
18050,"courses_training_or_mentoring"
18049,"courses_training_or_mentoring"
18048,"christian"
18047,"courses_training_or_mentoring"
18046,"courses_training_or_mentoring"
18045,"christian"
18044,"courses_training_or_mentoring"
18043,"courses_training_or_mentoring"
18042,"courses_training_or_mentoring"
18041,"courses_training_or_mentoring"
18040,"courses_training_or_mentoring"
18039,"courses_training_or_mentoring"
18038,"courses_training_or_mentoring"
18037,"christian"
18036,"courses_training_or_mentoring"
18035,"courses_training_or_mentoring"
18034,"courses_training_or_mentoring"
18033,"courses_training_or_mentoring"
18032,"courses_training_or_mentoring"
18031,"courses_training_or_mentoring"
18030,"courses_training_or_mentoring"
18029,"courses_training_or_mentoring"
18028,"courses_training_or_mentoring"
18027,"christian"
18026,"courses_training_or_mentoring"
18025,"courses_training_or_mentoring"
18024,"courses_training_or_mentoring"
18023,"christian"
18022,"courses_training_or_mentoring"
18021,"courses_training_or_mentoring"
18020,"courses_training_or_mentoring"
18019,"courses_training_or_mentoring"
18018,"courses_training_or_mentoring"
18017,"courses_training_or_mentoring"
18016,"courses_training_or_mentoring"
18015,"courses_training_or_mentoring"
18014,"courses_training_or_mentoring"
18013,"christian"
18012,"christian"
18011,"courses_training_or_mentoring"
18010,"courses_training_or_mentoring"
18009,"courses_training_or_mentoring"
18008,"courses_training_or_mentoring"
18007,"courses_training_or_mentoring"
18006,"courses_training_or_mentoring"
18005,"christian"
18004,"christian"
18003,"courses_training_or_mentoring"
18002,"christian"
18001,"courses_training_or_mentoring"
18000,"christian"
17999,"courses_training_or_mentoring"
17998,"courses_training_or_mentoring"
17997,"christian"
17996,"courses_training_or_mentoring"
17995,"courses_training_or_mentoring"
17994,"courses_training_or_mentoring"
17993,"christian"
17992,"courses_training_or_mentoring"
17991,"christian"
17990,"courses_training_or_mentoring"
17989,"courses_training_or_mentoring"
17988,"christian"
17987,"christian"
17986,"christian"
17985,"christian"
17984,"christian"
17983,"courses_training_or_mentoring"
17982,"courses_training_or_mentoring"
17981,"christian"
17980,"courses_training_or_mentoring"
17979,"courses_training_or_mentoring"
17978,"christian"
17977,"courses_training_or_mentoring"
17976,"courses_training_or_mentoring"
17975,"courses_training_or_mentoring"
17974,"christian"
17973,"courses_training_or_mentoring"
17972,"christian"
17971,"christian"
17970,"christian"
17969,"christian"
17968,"christian"
17967,"christian"
17966,"courses_training_or_mentoring"
17965,"courses_training_or_mentoring"
17964,"courses_training_or_mentoring"
17963,"christian"
17962,"courses_training_or_mentoring"
17961,"christian"
17960,"courses_training_or_mentoring"
17959,"christian"
17958,"courses_training_or_mentoring"
17957,"christian"
17956,"courses_training_or_mentoring"
17955,"christian"
17954,"courses_training_or_mentoring"
17953,"courses_training_or_mentoring"
17952,"courses_training_or_mentoring"
17951,"courses_training_or_mentoring"
17950,"courses_training_or_mentoring"
17949,"christian"
17948,"christian"
17947,"christian"
17946,"christian"
17945,"christian"
17944,"courses_training_or_mentoring"
17943,"courses_training_or_mentoring"
17942,"christian"
17941,"courses_training_or_mentoring"
17940,"christian"
17939,"courses_training_or_mentoring"
17938,"courses_training_or_mentoring"
17937,"courses_training_or_mentoring"
17936,"christian"
17935,"courses_training_or_mentoring"
17934,"courses_training_or_mentoring"
17933,"christian"
17932,"christian"
17931,"christian"
17930,"christian"
17929,"christian"
17928,"christian"
17927,"christian"
17926,"courses_training_or_mentoring"
17925,"courses_training_or_mentoring"
17924,"christian"
17923,"courses_training_or_mentoring"
17922,"christian"
17921,"christian"
17920,"christian"
17919,"courses_training_or_mentoring"
17918,"courses_training_or_mentoring"
17917,"courses_training_or_mentoring"
17916,"courses_training_or_mentoring"
17915,"christian"
17914,"courses_training_or_mentoring"
17913,"courses_training_or_mentoring"
17912,"christian"
17911,"courses_training_or_mentoring"
17910,"christian"
17909,"christian"
17908,"christian"
17907,"courses_training_or_mentoring"
17906,"christian"
17905,"christian"
17904,"christian"
17903,"christian"
17902,"courses_training_or_mentoring"
17901,"courses_training_or_mentoring"
17900,"courses_training_or_mentoring"
17899,"christian"
17898,"christian"
17897,"courses_training_or_mentoring"
17896,"christian"
17895,"christian"
17894,"christian"
17893,"christian"
17892,"christian"
17891,"christian"
17890,"christian"
17889,"courses_training_or_mentoring"
17888,"courses_training_or_mentoring"
17887,"courses_training_or_mentoring"
17886,"christian"
17885,"christian"
17884,"christian"
17883,"christian"
17882,"courses_training_or_mentoring"
17881,"christian"
17880,"christian"
17879,"christian"
17878,"christian"
17877,"christian"
17876,"courses_training_or_mentoring"
17875,"christian"
17874,"christian"
17873,"courses_training_or_mentoring"
17872,"courses_training_or_mentoring"
17871,"christian"
17870,"courses_training_or_mentoring"
17869,"courses_training_or_mentoring"
17868,"christian"
17867,"courses_training_or_mentoring"
17866,"courses_training_or_mentoring"
17865,"christian"
17864,"christian"
17863,"christian"
17862,"courses_training_or_mentoring"
17861,"christian"
17860,"christian"
17859,"courses_training_or_mentoring"
17858,"courses_training_or_mentoring"
17857,"courses_training_or_mentoring"
17856,"christian"
17855,"courses_training_or_mentoring"
17854,"courses_training_or_mentoring"
17853,"courses_training_or_mentoring"
17852,"courses_training_or_mentoring"
17851,"christian"
17850,"courses_training_or_mentoring"
17849,"courses_training_or_mentoring"
17848,"courses_training_or_mentoring"
17847,"courses_training_or_mentoring"
17846,"courses_training_or_mentoring"
17845,"christian"
17844,"courses_training_or_mentoring"
17843,"courses_training_or_mentoring"
17842,"christian"
17841,"courses_training_or_mentoring"
17840,"courses_training_or_mentoring"
17839,"christian"
17838,"christian"
17837,"christian"
17836,"courses_training_or_mentoring"
17835,"christian"
17834,"christian"
17833,"christian"
17832,"christian"
17831,"courses_training_or_mentoring"
17830,"christian"
17829,"courses_training_or_mentoring"
17828,"courses_training_or_mentoring"
17827,"christian"
17826,"courses_training_or_mentoring"
17825,"christian"
17824,"courses_training_or_mentoring"
17823,"christian"
17822,"courses_training_or_mentoring"
17821,"christian"
17820,"courses_training_or_mentoring"
17819,"courses_training_or_mentoring"
17818,"courses_training_or_mentoring"
17817,"courses_training_or_mentoring"
17816,"courses_training_or_mentoring"
17815,"christian"
17814,"christian"
17813,"courses_training_or_mentoring"
17812,"courses_training_or_mentoring"
17811,"christian"
17810,"courses_training_or_mentoring"
17809,"courses_training_or_mentoring"
17808,"courses_training_or_mentoring"
17807,"courses_training_or_mentoring"
17806,"courses_training_or_mentoring"
17805,"courses_training_or_mentoring"
17804,"courses_training_or_mentoring"
17803,"courses_training_or_mentoring"
17802,"courses_training_or_mentoring"
17801,"courses_training_or_mentoring"
17800,"christian"
17799,"christian"
17798,"courses_training_or_mentoring"
17797,"courses_training_or_mentoring"
17796,"courses_training_or_mentoring"
17795,"courses_training_or_mentoring"
17794,"courses_training_or_mentoring"
17793,"courses_training_or_mentoring"
17792,"courses_training_or_mentoring"
17791,"christian"
17790,"christian"
17789,"courses_training_or_mentoring"
17788,"christian"
17787,"christian"
17786,"christian"
17785,"courses_training_or_mentoring"
17784,"christian"
17783,"courses_training_or_mentoring"
17782,"christian"
17781,"courses_training_or_mentoring"
17780,"courses_training_or_mentoring"
17779,"courses_training_or_mentoring"
17778,"courses_training_or_mentoring"
17777,"courses_training_or_mentoring"
17776,"courses_training_or_mentoring"
17775,"christian"
17774,"courses_training_or_mentoring"
17773,"christian"
17772,"courses_training_or_mentoring"
